Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Unison,J14,4.16B 5.91/5.10,4.16B,4.16,B,64.16,5.91,5.10
Unison,A6,5.25RP 7.22/5.10,5.25RP,5.25,RP,95.25,7.22,5.10
Rembrandt,"620,5",0.15GY 4.52/5.11,0.15GY,0.15,GY,30.15,4.52,5.11
Great American,155.1,2.66YR 5.17/5.11,2.66YR,2.66,YR,12.66,5.17,5.11
Blue Earth,Y4C,6.74YR 5.59/5.11,6.74YR,6.74,YR,16.74,5.59,5.11
Sennelier,956,9.03BG 5.99/5.11,9.03BG,9.03,BG,59.03,5.99,5.11
Blue Earth,P6C,4.76RP 6.80/5.11,4.76RP,4.76,RP,94.76,6.80,5.11
Schmincke,068B,9.46BG 3.90/5.12,9.46BG,9.46,BG,59.46,3.90,5.12
Sennelier,771,8.06B 2.99/5.13,8.06B,8.06,B,68.06,2.99,5.13
Sennelier,136,2.87PB 3.09/5.13,2.87PB,2.87,PB,72.87,3.09,5.13
Sennelier,137,1.28PB 4.51/5.13,1.28PB,1.28,PB,71.28,4.51,5.13
Mount Vision,810,7.33Y 5.79/5.13,7.33Y,7.33,Y,27.33,5.79,5.13
Great American,355.1,2.54G 6.22/5.13,2.54G,2.54,G,42.54,6.22,5.13
Girault,11,6.46R 7.05/5.13,6.46R,6.46,R,6.46,7.05,5.13
Mount Vision,653,8.78PB 7.53/5.14,8.78PB,8.78,PB,78.78,7.53,5.14
Unison,BG16,0.91B 7.27/5.15,0.91B,0.91,B,60.91,7.27,5.15
Sennelier,359,4.21PB 7.57/5.15,4.21PB,4.21,PB,74.21,7.57,5.15
Schmincke,017O,6.98YR 7.91/5.15,6.98YR,6.98,YR,16.98,7.91,5.15
Unison,R18,9.15RP 7.42/5.16,9.15RP,9.15,RP,99.15,7.42,5.16
Great American,105.5,5.72YR 7.92/5.16,5.72YR,5.72,YR,15.72,7.92,5.16
Mount Vision,523,5.74PB 7.94/5.16,5.74PB,5.74,PB,75.74,7.94,5.16
Great American,145.4,1.83Y 8.75/5.16,1.83Y,1.83,Y,21.83,8.75,5.16
Mount Vision,553,9.56Y 9.47/5.16,9.56Y,9.56,Y,29.56,9.47,5.16
Great American,410.0,4.76PB 2.27/5.17,4.76PB,4.76,PB,74.76,2.27,5.17
Sennelier,194,2.54YR 3.25/5.17,2.54YR,2.54,YR,12.54,3.25,5.17
Schmincke,075B,0.26G 5.68/5.17,0.26G,0.26,G,40.26,5.68,5.17
Great American,860.5,4.19RP 8.22/5.17,4.19RP,4.19,RP,94.19,8.22,5.17
Unison,BE28,6.45YR 4.87/5.18,6.45YR,6.45,YR,16.45,4.87,5.18
Girault,124,3.98YR 6.16/5.19,3.98YR,3.98,YR,13.98,6.16,5.19
Great American,740.3,3.38P 6.56/5.19,3.38P,3.38,P,83.38,6.56,5.19
Great American,100.4,9.16R 7.69/5.19,9.16R,9.16,R,9.16,7.69,5.19
Great American,915.5,0.32YR 7.91/5.19,0.32YR,0.32,YR,10.32,7.91,5.19
Great American,700.5,0.43RP 8.33/5.19,0.43RP,0.43,RP,90.43,8.33,5.19
Great American,265.0,6.81RP 3.52/5.20,6.81RP,6.81,RP,96.81,3.52,5.20
Great American,920.1,6.26PB 4.40/5.20,6.26PB,6.26,PB,76.26,4.40,5.20
Great American,135.2,6.21YR 5.65/5.20,6.21YR,6.21,YR,16.21,5.65,5.20
Schmincke,070M,4.72G 5.83/5.20,4.72G,4.72,G,44.72,5.83,5.20
Sennelier,467,1.03PB 2.91/5.21,1.03PB,1.03,PB,71.03,2.91,5.21
Rembrandt,"536,3",4.62P 3.59/5.21,4.62P,4.62,P,84.62,3.59,5.21
Great American,660.3,1.19R 6.00/5.21,1.19R,1.19,R,1.19,6.00,5.21
Girault,254,1.96G 6.40/5.21,1.96G,1.96,G,41.96,6.40,5.21
Great American,945.3,2.52B 7.96/5.21,2.52B,2.52,B,62.52,7.96,5.21
Schmincke,044O,3.91R 8.36/5.21,3.91R,3.91,R,3.91,8.36,5.21
Girault,180,1.71G 3.94/5.22,1.71G,1.71,G,41.71,3.94,5.22
Girault,44,8.51R 7.86/5.22,8.51R,8.51,R,8.51,7.86,5.22
Schmincke,049B,4.38RP 2.38/5.23,4.38RP,4.38,RP,94.38,2.38,5.23
Girault,2,0.29YR 3.15/5.23,0.29YR,0.29,YR,10.29,3.15,5.23
Great American,322.0,4.41G 7.04/5.23,4.41G,4.41,G,44.41,7.04,5.23
Mount Vision,374,8.37R 7.09/5.23,8.37R,8.37,R,8.37,7.09,5.23
Unison,O12,4.98YR 8.43/5.24,4.98YR,4.98,YR,14.98,8.43,5.24
Schmincke,013M,2.46Y 8.78/5.24,2.46Y,2.46,Y,22.46,8.78,5.24
Blue Earth,E2B,1.19G 4.08/5.25,1.19G,1.19,G,41.19,4.08,5.25
Schmincke,056M,3.51P 7.25/5.25,3.51P,3.51,P,83.51,7.25,5.25
Great American,550.5,9.89GY 8.58/5.25,9.89GY,9.89,GY,39.89,8.58,5.25
Girault,244,4.47BG 5.72/5.26,4.47BG,4.47,BG,54.47,5.72,5.26
Rembrandt,"234,8",0.82Y 7.47/5.26,0.82Y,0.82,Y,20.82,7.47,5.26
Sennelier,89,0.44YR 3.05/5.27,0.44YR,0.44,YR,10.44,3.05,5.27
Blue Earth,R2B,7.52R 3.64/5.27,7.52R,7.52,R,7.52,3.64,5.27
Blue Earth,V3C,4.37RP 4.77/5.29,4.37RP,4.37,RP,94.37,4.77,5.29
Mount Vision,130,2.71Y 5.46/5.29,2.71Y,2.71,Y,22.71,5.46,5.29
Schmincke,022O,8.54R 7.05/5.29,8.54R,8.54,R,8.54,7.05,5.29
Unison,SC8,6.41RP 3.73/5.30,6.41RP,6.41,RP,96.41,3.73,5.30
Blue Earth,L5B,8.18Y 6.23/5.30,8.18Y,8.18,Y,28.18,6.23,5.30
Great American,910.0,9.19YR 6.32/5.30,9.19YR,9.19,YR,19.19,6.32,5.30
Sennelier,751,10.00Y 3.77/5.31,10.00Y,10.00,Y,30.00,3.77,5.31
Rembrandt,"620,8",3.33GY 6.82/5.31,3.33GY,3.33,GY,33.33,6.82,5.31
Unison,BV14,4.68PB 7.02/5.31,4.68PB,4.68,PB,74.68,7.02,5.31
Unison,A8,2.67Y 8.93/5.31,2.67Y,2.67,Y,22.67,8.93,5.31
Mount Vision,30,3.41B 3.32/5.32,3.41B,3.41,B,63.41,3.32,5.32
Mount Vision,52,9.84GY 7.18/5.32,9.84GY,9.84,GY,39.84,7.18,5.32
Schmincke,007B,9.98Y 7.84/5.32,9.98Y,9.98,Y,29.98,7.84,5.32
Girault,208,2.01GY 8.35/5.33,2.01GY,2.01,GY,32.01,8.35,5.33
Unison,G31,7.05GY 4.40/5.34,7.05GY,7.05,GY,37.05,4.40,5.34
Blue Earth,R5C,8.25R 6.94/5.34,8.25R,8.25,R,8.25,6.94,5.34
Girault,186,8.77GY 7.13/5.34,8.77GY,8.77,GY,38.77,7.13,5.34
Sennelier,335,8.05PB 7.29/5.34,8.05PB,8.05,PB,78.05,7.29,5.34
Schmincke,042O,9.05R 8.44/5.34,9.05R,9.05,R,9.05,8.44,5.34
Schmincke,069H,0.88PB 3.87/5.35,0.88PB,0.88,PB,70.88,3.87,5.35
Schmincke,073H,2.11G 5.80/5.35,2.11G,2.11,G,42.11,5.80,5.35
Sennelier,770,0.33PB 2.68/5.36,0.33PB,0.33,PB,70.33,2.68,5.36
Mount Vision,351,7.67GY 5.03/5.36,7.67GY,7.67,GY,37.67,5.03,5.36
Schmincke,071O,5.46BG 8.02/5.36,5.46BG,5.46,BG,55.46,8.02,5.36
Sennelier,952,4.88B 5.89/5.37,4.88B,4.88,B,64.88,5.89,5.37
Unison,NE13,9.50YR 7.70/5.38,9.50YR,9.50,YR,19.50,7.70,5.38
Great American,690.5,0.85RP 8.52/5.38,0.85RP,0.85,RP,90.85,8.52,5.38
Girault,364,4.06P 5.18/5.39,4.06P,4.06,P,84.06,5.18,5.39
Schmincke,019M,1.31YR 7.02/5.39,1.31YR,1.31,YR,11.31,7.02,5.39
Mount Vision,432,1.33PB 7.39/5.39,1.33PB,1.33,PB,71.33,7.39,5.39
Unison,J18,8.70B 5.80/5.40,8.70B,8.70,B,68.70,5.80,5.40
Schmincke,063B,6.07PB 2.57/5.42,6.07PB,6.07,PB,76.07,2.57,5.42
Schmincke,033B,4.88YR 4.06/5.42,4.88YR,4.88,YR,14.88,4.06,5.42
Great American,720.5,3.52P 7.87/5.42,3.52P,3.52,P,83.52,7.87,5.42
Girault,494,8.19Y 6.09/5.43,8.19Y,8.19,Y,28.19,6.09,5.43
Rembrandt,"505,8",2.90PB 6.90/5.44,2.90PB,2.90,PB,72.90,6.90,5.44
Schmincke,061H,5.29PB 3.78/5.45,5.29PB,5.29,PB,75.29,3.78,5.45
Schmincke,073M,6.40G 6.98/5.45,6.40G,6.40,G,46.40,6.98,5.45
Sennelier,182,5.90G 3.17/5.46,5.90G,5.90,G,45.90,3.17,5.46
Sennelier,957,5.07BG 4.04/5.46,5.07BG,5.07,BG,55.07,4.04,5.46
Blue Earth,C2B,6.67B 4.39/5.46,6.67B,6.67,B,66.67,4.39,5.46
Rembrandt,"331,3",3.75R 3.79/5.47,3.75R,3.75,R,3.75,3.79,5.47
Blue Earth,Y2A,7.50YR 3.88/5.47,7.50YR,7.50,YR,17.50,3.88,5.47
Schmincke,070H,3.84G 4.97/5.47,3.84G,3.84,G,43.84,4.97,5.47
Unison,RE18,1.20YR 3.24/5.48,1.20YR,1.20,YR,11.20,3.24,5.48
Great American,815.4,6.19R 7.37/5.48,6.19R,6.19,R,6.19,7.37,5.48
Great American,710.5,8.86P 8.22/5.48,8.86P,8.86,P,88.86,8.22,5.48
Girault,317,4.00Y 5.06/5.49,4.00Y,4.00,Y,24.00,5.06,5.49
Girault,194,7.46Y 4.19/5.50,7.46Y,7.46,Y,27.46,4.19,5.50
Great American,560.1,6.61GY 5.77/5.50,6.61GY,6.61,GY,36.61,5.77,5.50
Sennelier,918,5.11GY 8.32/5.50,5.11GY,5.11,GY,35.11,8.32,5.50
Great American,245.0,2.86PB 3.65/5.52,2.86PB,2.86,PB,72.86,3.65,5.52
Girault,240,7.68Y 4.41/5.52,7.68Y,7.68,Y,27.68,4.41,5.52
Unison,G21,9.19G 5.92/5.52,9.19G,9.19,G,49.19,5.92,5.52
Unison,BV15,6.74PB 5.96/5.52,6.74PB,6.74,PB,76.74,5.96,5.52
Sennelier,18,5.54YR 7.39/5.52,5.54YR,5.54,YR,15.54,7.39,5.52
Great American,490.5,5.07B 7.71/5.52,5.07B,5.07,B,65.07,7.71,5.52
Schmincke,028M,3.34Y 8.14/5.52,3.34Y,3.34,Y,23.34,8.14,5.52
Mount Vision,294,5.84Y 9.47/5.52,5.84Y,5.84,Y,25.84,9.47,5.52
Unison,G9,1.96G 5.64/5.53,1.96G,1.96,G,41.96,5.64,5.53
Great American,310.0,8.26B 7.92/5.53,8.26B,8.26,B,68.26,7.92,5.53
Great American,555.4,9.61GY 8.14/5.53,9.61GY,9.61,GY,39.61,8.14,5.53
Rembrandt,"201,8",8.59Y 8.59/5.53,8.59Y,8.59,Y,28.59,8.59,5.53
Girault,267,9.69R 2.68/5.54,9.69R,9.69,R,9.69,2.68,5.54
Unison,G19,2.62BG 4.05/5.54,2.62BG,2.62,BG,52.62,4.05,5.54
Unison,T6,2.57B 7.79/5.54,2.57B,2.57,B,62.57,7.79,5.54
Sennelier,115,9.63YR 7.95/5.54,9.63YR,9.63,YR,19.63,7.95,5.54
Mount Vision,274,6.16Y 9.22/5.54,6.16Y,6.16,Y,26.16,9.22,5.54
Sennelier,106,8.27YR 6.01/5.55,8.27YR,8.27,YR,18.27,6.01,5.55
Rembrandt,"618,8",9.01GY 7.72/5.55,9.01GY,9.01,GY,39.01,7.72,5.55
Mount Vision,202,3.21GY 8.79/5.55,3.21GY,3.21,GY,33.21,8.79,5.55
Schmincke,033M,7.00YR 7.32/5.56,7.00YR,7.00,YR,17.00,7.32,5.56
Great American,110.3,6.76YR 7.90/5.56,6.76YR,6.76,YR,16.76,7.90,5.56
Girault,34,8.05YR 4.12/5.57,8.05YR,8.05,YR,18.05,4.12,5.57
Sennelier,104,9.32YR 4.62/5.57,9.32YR,9.32,YR,19.32,4.62,5.57
Great American,580.3,1.28Y 8.90/5.57,1.28Y,1.28,Y,21.28,8.90,5.57
Unison,Grey20,0.89Y 5.84/5.58,0.89Y,0.89,Y,20.89,5.84,5.58
Schmincke,057B,9.04PB 3.58/5.59,9.04PB,9.04,PB,79.04,3.58,5.59
Sennelier,195,1.67YR 3.64/5.59,1.67YR,1.67,YR,11.67,3.64,5.59
Sennelier,468,0.19PB 3.83/5.59,0.19PB,0.19,PB,70.19,3.83,5.59
Schmincke,032B,9.15YR 4.75/5.59,9.15YR,9.15,YR,19.15,4.75,5.59
Great American,370.2,4.11R 4.77/5.59,4.11R,4.11,R,4.11,4.77,5.59
Great American,340.3,6.57PB 6.54/5.59,6.57PB,6.57,PB,76.57,6.54,5.59
Sennelier,372,7.11YR 8.11/5.59,7.11YR,7.11,YR,17.11,8.11,5.59
Schmincke,021B,1.90YR 5.36/5.60,1.90YR,1.90,YR,11.90,5.36,5.60
Unison,A55,8.41RP 5.69/5.60,8.41RP,8.41,RP,98.41,5.69,5.60
Great American,540.4,0.80B 7.47/5.60,0.80B,0.80,B,60.80,7.47,5.60
Sennelier,103,7.22Y 9.36/5.60,7.22Y,7.22,Y,27.22,9.36,5.60
Great American,245.1,2.10PB 4.29/5.61,2.10PB,2.10,PB,72.10,4.29,5.61
Unison,G8,1.15G 4.64/5.61,1.15G,1.15,G,41.15,4.64,5.61
Sennelier,808,6.20PB 5.06/5.61,6.20PB,6.20,PB,76.20,5.06,5.61
Sennelier,458,4.61YR 2.81/5.62,4.61YR,4.61,YR,14.61,2.81,5.62
Blue Earth,V1C,1.87RP 3.15/5.62,1.87RP,1.87,RP,91.87,3.15,5.62
Schmincke,075M,3.78G 8.11/5.62,3.78G,3.78,G,43.78,8.11,5.62
Sennelier,135,5.06PB 1.93/5.63,5.06PB,5.06,PB,75.06,1.93,5.63
Unison,BG1,9.45B 3.22/5.63,9.45B,9.45,B,69.45,3.22,5.63
Schmincke,069M,0.60PB 4.60/5.64,0.60PB,0.60,PB,70.60,4.60,5.64
Unison,BV16,8.26PB 4.72/5.64,8.26PB,8.26,PB,78.26,4.72,5.64
Blue Earth,E3A,5.33GY 4.82/5.65,5.33GY,5.33,GY,35.33,4.82,5.65
Sennelier,9,3.72YR 6.27/5.65,3.72YR,3.72,YR,13.72,6.27,5.65
Sennelier,263,7.71B 7.49/5.65,7.71B,7.71,B,67.71,7.49,5.65
Blue Earth,O7C,4.44YR 8.14/5.65,4.44YR,4.44,YR,14.44,8.14,5.65
Schmincke,066B,6.67PB 1.32/5.66,6.67PB,6.67,PB,76.67,1.32,5.66
Rembrandt,"522,3",4.24B 3.87/5.66,4.24B,4.24,B,64.24,3.87,5.66
Great American,540.0,2.33BG 5.05/5.67,2.33BG,2.33,BG,52.33,5.05,5.67
Mount Vision,824,7.47GY 8.09/5.67,7.47GY,7.47,GY,37.47,8.09,5.67
Rembrandt,"201,3",0.46GY 6.12/5.68,0.46GY,0.46,GY,30.46,6.12,5.68
Girault,301,9.40YR 7.74/5.68,9.40YR,9.40,YR,19.40,7.74,5.68
Schmincke,066D,6.74PB 1.44/5.69,6.74PB,6.74,PB,76.74,1.44,5.69
Sennelier,265,9.37R 2.35/5.70,9.37R,9.37,R,9.37,2.35,5.70
Schmincke,061D,6.68PB 2.56/5.70,6.68PB,6.68,PB,76.68,2.56,5.70
Unison,BG4,9.80B 7.19/5.70,9.80B,9.80,B,69.80,7.19,5.70
Blue Earth,E7B,6.30GY 8.58/5.70,6.30GY,6.30,GY,36.30,8.58,5.70
Rembrandt,"343,3",8.40R 3.67/5.71,8.40R,8.40,R,8.40,3.67,5.71
Sennelier,774,7.56B 6.57/5.71,7.56B,7.56,B,67.56,6.57,5.71
Blue Earth,Y3B,7.05YR 4.75/5.72,7.05YR,7.05,YR,17.05,4.75,5.72
Great American,265.2,5.13RP 5.38/5.72,5.13RP,5.13,RP,95.13,5.38,5.72
Mount Vision,61,6.81GY 6.40/5.72,6.81GY,6.81,GY,36.81,6.40,5.72
Great American,145.2,1.59Y 7.98/5.72,1.59Y,1.59,Y,21.59,7.98,5.72
Mount Vision,804,2.90Y 8.03/5.72,2.90Y,2.90,Y,22.90,8.03,5.72
Great American,245.2,2.21PB 5.10/5.73,2.21PB,2.21,PB,72.21,5.10,5.73
Unison,Y5,7.11Y 8.93/5.73,7.11Y,7.11,Y,27.11,8.93,5.73
Girault,250,7.02G 2.88/5.74,7.02G,7.02,G,47.02,2.88,5.74
Unison,RE4,8.17R 5.56/5.75,8.17R,8.17,R,8.17,5.56,5.75
Great American,575.5,6.38Y 9.24/5.75,6.38Y,6.38,Y,26.38,9.24,5.75
Schmincke,650B,3.02B 4.98/5.76,3.02B,3.02,B,63.02,4.98,5.76
Great American,470.4,4.60PB 7.87/5.76,4.60PB,4.60,PB,74.60,7.87,5.76
Unison,Y17,1.51Y 8.35/5.76,1.51Y,1.51,Y,21.51,8.35,5.76
Rembrandt,"370,3",0.34YR 4.00/5.77,0.34YR,0.34,YR,10.34,4.00,5.77
Mount Vision,820,9.75GY 4.49/5.77,9.75GY,9.75,GY,39.75,4.49,5.77
Schmincke,013B,3.00Y 6.21/5.77,3.00Y,3.00,Y,23.00,6.21,5.77
Schmincke,069D,1.81PB 3.33/5.78,1.81PB,1.81,PB,71.81,3.33,5.78
Great American,485.4,2.41B 7.23/5.78,2.41B,2.41,B,62.41,7.23,5.78
Girault,122,1.60YR 4.56/5.79,1.60YR,1.60,YR,11.60,4.56,5.79
Great American,160.4,7.22R 6.42/5.79,7.22R,7.22,R,7.22,6.42,5.79
Sennelier,102,5.73Y 9.23/5.79,5.73Y,5.73,Y,25.73,9.23,5.79
Schmincke,066O,0.84PB 6.83/5.80,0.84PB,0.84,PB,70.84,6.83,5.80
Great American,260.2,0.76RP 3.19/5.81,0.76RP,0.76,RP,90.76,3.19,5.81
Rembrandt,"202,3",5.66Y 5.40/5.81,5.66Y,5.66,Y,25.66,5.40,5.81
Girault,349,2.61BG 5.79/5.81,2.61BG,2.61,BG,52.61,5.79,5.81
Sennelier,817,2.66YR 6.36/5.81,2.66YR,2.66,YR,12.66,6.36,5.81
Rembrandt,"231,8",6.74YR 7.59/5.81,6.74YR,6.74,YR,16.74,7.59,5.81
Sennelier,122,7.96YR 5.05/5.82,7.96YR,7.96,YR,17.96,5.05,5.82
Blue Earth,C3B,6.54B 5.26/5.82,6.54B,6.54,B,66.54,5.26,5.82
Mount Vision,151,3.28YR 6.20/5.82,3.28YR,3.28,YR,13.28,6.20,5.82
Schmincke,065M,6.36B 7.33/5.82,6.36B,6.36,B,66.36,7.33,5.82
Mount Vision,362,1.78GY 8.24/5.82,1.78GY,1.78,GY,31.78,8.24,5.82
Unison,G36,1.18GY 8.90/5.82,1.18GY,1.18,GY,31.18,8.90,5.82
Sennelier,903,9.23Y 9.21/5.82,9.23Y,9.23,Y,29.23,9.21,5.82
Rembrandt,"506,3",5.34PB 2.93/5.83,5.34PB,5.34,PB,75.34,2.93,5.83
Great American,370.3,6.83R 5.64/5.83,6.83R,6.83,R,6.83,5.64,5.83
Great American,265.3,4.98RP 5.84/5.83,4.98RP,4.98,RP,94.98,5.84,5.83
Schmincke,071B,2.08BG 4.73/5.84,2.08BG,2.08,BG,52.08,4.73,5.84
Unison,RE16,9.51R 4.79/5.84,9.51R,9.51,R,9.51,4.79,5.84
Unison,BG15,1.49B 5.84/5.84,1.49B,1.49,B,61.49,5.84,5.84
Blue Earth,P7B,4.61RP 7.83/5.84,4.61RP,4.61,RP,94.61,7.83,5.84
Blue Earth,V2C,4.63RP 4.03/5.85,4.63RP,4.63,RP,94.63,4.03,5.85
Great American,265.1,6.63RP 4.09/5.85,6.63RP,6.63,RP,96.63,4.09,5.85
Great American,380.2,7.58Y 7.02/5.85,7.58Y,7.58,Y,27.58,7.02,5.85
Girault,309,7.60P 2.82/5.86,7.60P,7.60,P,87.60,2.82,5.86
Great American,390.3,0.61YR 6.27/5.86,0.61YR,0.61,YR,10.61,6.27,5.86
Great American,135.4,5.51YR 6.54/5.86,5.51YR,5.51,YR,15.51,6.54,5.86
Schmincke,023H,5.93R 5.14/5.87,5.93R,5.93,R,5.93,5.14,5.87
Rembrandt,"548,7",3.53P 6.17/5.87,3.53P,3.53,P,83.53,6.17,5.87
Girault,130,4.60YR 7.46/5.87,4.60YR,4.60,YR,14.60,7.46,5.87
Blue Earth,O7A,3.82YR 8.40/5.87,3.82YR,3.82,YR,13.82,8.40,5.87
Unison,G25,1.01G 4.25/5.89,1.01G,1.01,G,41.01,4.25,5.89
Unison,Port10,6.24RP 6.66/5.89,6.24RP,6.24,RP,96.24,6.66,5.89
Great American,495.4,3.16B 7.24/5.90,3.16B,3.16,B,63.16,7.24,5.90
Girault,47,6.28R 2.94/5.91,6.28R,6.28,R,6.28,2.94,5.91
Great American,140.0,3.19YR 4.31/5.91,3.19YR,3.19,YR,13.19,4.31,5.91
Rembrandt,"675,3",2.51G 4.69/5.91,2.51G,2.51,G,42.51,4.69,5.91
Great American,929,4.10YR 7.49/5.92,4.10YR,4.10,YR,14.10,7.49,5.92
Great American,240.2,1.02RP 3.49/5.93,1.02RP,1.02,RP,91.02,3.49,5.93
Rembrandt,"627,7",4.44G 4.55/5.93,4.44G,4.44,G,44.44,4.55,5.93
Great American,490.4,4.92B 7.25/5.95,4.92B,4.92,B,64.92,7.25,5.95
Mount Vision,191,5.66YR 6.07/5.96,5.66YR,5.66,YR,15.66,6.07,5.96
Mount Vision,723,0.75B 6.60/5.96,0.75B,0.75,B,60.75,6.60,5.96
Great American,640.5,3.78R 7.62/5.96,3.78R,3.78,R,3.78,7.62,5.96
Great American,110.4,7.05YR 7.72/5.96,7.05YR,7.05,YR,17.05,7.72,5.96
Great American,590.5,1.79YR 8.53/5.96,1.79YR,1.79,YR,11.79,8.53,5.96
Unison,RE8,9.54R 7.05/5.97,9.54R,9.54,R,9.54,7.05,5.97
Unison,RE14,3.08YR 7.30/5.97,3.08YR,3.08,YR,13.08,7.30,5.97
Mount Vision,441,0.59Y 7.57/5.97,0.59Y,0.59,Y,20.59,7.57,5.97
Schmincke,068D,3.05B 4.98/5.98,3.05B,3.05,B,63.05,4.98,5.98
Mount Vision,470,0.09Y 5.42/5.98,0.09Y,0.09,Y,20.09,5.42,5.98
Great American,585.5,5.45YR 8.35/5.98,5.45YR,5.45,YR,15.45,8.35,5.98
Sennelier,812,2.66BG 7.27/5.99,2.66BG,2.66,BG,52.66,7.27,5.99
Sennelier,773,6.79B 4.70/6.00,6.79B,6.79,B,66.79,4.70,6.00
Great American,560.2,5.96GY 6.30/6.00,5.96GY,5.96,GY,35.96,6.30,6.00
Blue Earth,V5A,7.99P 7.21/6.00,7.99P,7.99,P,87.99,7.21,6.00
Great American,750.4,5.04P 7.69/6.00,5.04P,5.04,P,85.04,7.69,6.00
Schmincke,002M,1GY 9.6/6,1.00GY,1.00,GY,31.00,9.60,6.00
Unison,YGE12,1.94Y 4.59/6.01,1.94Y,1.94,Y,21.94,4.59,6.01
Schmincke,950H,4.89BG 7.85/6.01,4.89BG,4.89,BG,54.89,7.85,6.01
Blue Earth,O2A,9.44R 3.52/6.02,9.44R,9.44,R,9.44,3.52,6.02
Girault,252,3.71G 5.08/6.02,3.71G,3.71,G,43.71,5.08,6.02
Mount Vision,751,6.53RP 3.49/6.03,6.53RP,6.53,RP,96.53,3.49,6.03
Schmincke,048B,7.32RP 2.22/6.04,7.32RP,7.32,RP,97.32,2.22,6.04
Rembrandt,"343,7",6.99R 4.91/6.04,6.99R,6.99,R,6.99,4.91,6.04
Sennelier,4,8.97R 2.92/6.05,8.97R,8.97,R,8.97,2.92,6.05
Unison,RE15,1.44YR 5.73/6.05,1.44YR,1.44,YR,11.44,5.73,6.05
Mount Vision,32,5.85B 6.27/6.05,5.85B,5.85,B,65.85,6.27,6.05
Great American,655.4,2.49R 6.53/6.06,2.49R,2.49,R,2.49,6.53,6.06
Blue Earth,T4B,1.03BG 6.60/6.06,1.03BG,1.03,BG,51.03,6.60,6.06
Rembrandt,"675,8",3.37G 7.73/6.06,3.37G,3.37,G,43.37,7.73,6.06
Unison,NE1,3.91YR 3.51/6.07,3.91YR,3.91,YR,13.91,3.51,6.07
Blue Earth,P3C,5.50RP 4.29/6.07,5.50RP,5.50,RP,95.50,4.29,6.07
Girault,312,1.17RP 5.00/6.07,1.17RP,1.17,RP,91.17,5.00,6.07
Sennelier,358,4.35PB 7.31/6.07,4.35PB,4.35,PB,74.35,7.31,6.07
Mount Vision,781,1.45P 2.73/6.08,1.45P,1.45,P,81.45,2.73,6.08
Unison,G15,2.04GY 4.99/6.08,2.04GY,2.04,GY,32.04,4.99,6.08
Unison,Port12,8.01R 6.94/6.08,8.01R,8.01,R,8.01,6.94,6.08
Mount Vision,611,9.70Y 5.68/6.09,9.70Y,9.70,Y,29.70,5.68,6.09
Great American,360.4,5.91R 7.26/6.09,5.91R,5.91,R,5.91,7.26,6.09
Mount Vision,481,9.05YR 7.43/6.09,9.05YR,9.05,YR,19.05,7.43,6.09
Blue Earth,L6B,7.39Y 7.65/6.09,7.39Y,7.39,Y,27.39,7.65,6.09
Mount Vision,592,5.60YR 6.40/6.10,5.60YR,5.60,YR,15.60,6.40,6.10
Unison,NE4,8.95YR 6.74/6.10,8.95YR,8.95,YR,18.95,6.74,6.10
Girault,461,9.73R 3.34/6.11,9.73R,9.73,R,9.73,3.34,6.11
Unison,G20,7.37G 5.26/6.11,7.37G,7.37,G,47.37,5.26,6.11
Rembrandt,"522,8",2.85B 6.95/6.11,2.85B,2.85,B,62.85,6.95,6.11
Sennelier,935,7.26R 7.61/6.11,7.26R,7.26,R,7.26,7.61,6.11
Girault,120,1.45YR 3.27/6.12,1.45YR,1.45,YR,11.45,3.27,6.12
Girault,251,5.95G 3.60/6.12,5.95G,5.95,G,45.95,3.60,6.12
Unison,BE12,5.81YR 3.89/6.12,5.81YR,5.81,YR,15.81,3.89,6.12
Unison,G12,2.86GY 8.16/6.12,2.86GY,2.86,GY,32.86,8.16,6.12
Sennelier,772,6.81B 3.96/6.13,6.81B,6.81,B,66.81,3.96,6.13
Girault,243,6.21BG 4.22/6.13,6.21BG,6.21,BG,56.21,4.22,6.13
Sennelier,94,9.11R 6.17/6.13,9.11R,9.11,R,9.11,6.17,6.13
Schmincke,050M,6.63P 6.52/6.13,6.63P,6.63,P,86.63,6.52,6.13
Rembrandt,"234,7",9.72YR 7.04/6.13,9.72YR,9.72,YR,19.72,7.04,6.13
Schmincke,650M,6.44B 7.24/6.13,6.44B,6.44,B,66.44,7.24,6.13
Unison,R14,9.06RP 3.14/6.14,9.06RP,9.06,RP,99.06,3.14,6.14
Unison,G7,4.08G 4.09/6.14,4.08G,4.08,G,44.08,4.09,6.14
Unison,YGE11,3.90Y 4.90/6.14,3.90Y,3.90,Y,23.90,4.90,6.14
Rembrandt,"633,3",2.72GY 6.13/6.14,2.72GY,2.72,GY,32.72,6.13,6.14
Rembrandt,"347,5",7.34RP 3.72/6.15,7.34RP,7.34,RP,97.34,3.72,6.15
Rembrandt,"397,9",4.37RP 7.06/6.15,4.37RP,4.37,RP,94.37,7.06,6.15
Unison,SC11,2.30P 3.66/6.16,2.30P,2.30,P,82.30,3.66,6.16
Unison,R13,2.54R 2.87/6.17,2.54R,2.54,R,2.54,2.87,6.17
