Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Sennelier,204,3.85GY 6.64/9.27,3.85GY,3.85,GY,33.85,6.64,9.27
Blue Earth,B4A,4.86PB 6.43/9.28,4.86PB,4.86,PB,74.86,6.43,9.28
Sennelier,47,7.97R 3.15/9.30,7.97R,7.97,R,7.97,3.15,9.30
Girault,331,8.52PB 3.37/9.30,8.52PB,8.52,PB,78.52,3.37,9.30
Unison,BG2,2.89PB 4.21/9.30,2.89PB,2.89,PB,72.89,4.21,9.30
Mount Vision,360,1.77GY 6.88/9.30,1.77GY,1.77,GY,31.77,6.88,9.30
Great American,320.0,1.88RP 7.06/9.30,1.88RP,1.88,RP,91.88,7.06,9.30
Mount Vision,10,9.53YR 7.42/9.30,9.53YR,9.53,YR,19.53,7.42,9.30
Mount Vision,272,4.33Y 8.34/9.30,4.33Y,4.33,Y,24.33,8.34,9.30
Mount Vision,200,6.83GY 7.54/9.32,6.83GY,6.83,GY,36.83,7.54,9.32
Unison,R5,8.59R 6.87/9.33,8.59R,8.59,R,8.59,6.87,9.33
Blue Earth,B1A,6.82PB 3.14/9.34,6.82PB,6.82,PB,76.82,3.14,9.34
Sennelier,254,1.28BG 5.80/9.34,1.28BG,1.28,BG,51.28,5.80,9.34
Unison,J6,7.85YR 8.10/9.35,7.85YR,7.85,YR,17.85,8.10,9.35
Girault,24,0.41YR 4.75/9.37,0.41YR,0.41,YR,10.41,4.75,9.37
Mount Vision,612,5.22Y 6.69/9.37,5.22Y,5.22,Y,25.22,6.69,9.37
Blue Earth,P3B,7.61RP 4.28/9.38,7.61RP,7.61,RP,97.61,4.28,9.38
Mount Vision,343,5.37PB 5.13/9.39,5.37PB,5.37,PB,75.37,5.13,9.39
Great American,575.3,4.37Y 8.83/9.41,4.37Y,4.37,Y,24.37,8.83,9.41
Girault,23,0.54YR 4.22/9.42,0.54YR,0.54,YR,10.54,4.22,9.42
Sennelier,368,6.19YR 5.76/9.42,6.19YR,6.19,YR,16.19,5.76,9.42
Great American,720.3,3.48P 6.41/9.42,3.48P,3.48,P,83.48,6.41,9.42
