Brand Name,Identifier,X,Y,Z,x,y,L*,a*,b*,C*,h
Rembrandt,"700,5",2.3062,2.4356,2.8507,0.3037,0.3208,17.6249,-1.6887,0.1949,1.6999,3.0267
Rembrandt,"704,3",5.0703,5.1657,5.6948,0.3183,0.3243,27.2018,0.0492,1.7175,1.7182,1.5422
Rembrandt,"704,5",12.3649,12.5697,13.5886,0.3210,0.3263,42.1076,0.2514,2.9458,2.9565,1.4857
Rembrandt,"704,7",28.2472,28.8309,31.5361,0.3188,0.3254,60.6321,-0.1119,3.3821,3.3840,1.6039
Rembrandt,"704,8",38.7878,39.5743,43.3510,0.3187,0.3251,69.1652,-0.0778,3.6889,3.6897,1.5919
Rembrandt,"704,9",51.2347,52.3660,59.2599,0.3146,0.3215,77.4992,-0.3225,2.3367,2.3589,1.7079
Rembrandt,"704,10",62.1063,63.3959,70.4365,0.3170,0.3235,83.6502,-0.1594,3.5237,3.5273,1.6160
Rembrandt,"707,3",7.4173,7.3793,10.2140,0.2966,0.2950,32.6553,1.7249,-4.5247,4.8424,5.0766
Rembrandt,"707,5",11.0370,10.8736,15.1966,0.2974,0.2930,39.3667,2.7489,-5.4732,6.1248,5.1778
Rembrandt,"707,7",19.8992,19.9360,26.6342,0.2994,0.2999,51.7648,1.7178,-4.8569,5.1517,5.0523
Rembrandt,"707,8",35.7874,36.4007,45.3160,0.3046,0.3098,66.8250,0.2910,-2.4770,2.4941,4.8293
Rembrandt,"707,9",44.3582,45.1718,54.6302,0.3077,0.3133,73.0049,0.1614,-1.1621,1.1733,4.8504
Rembrandt,"707,10",52.2976,53.3725,61.7538,0.3124,0.3188,78.0944,-0.1226,1.1650,1.1714,1.6757
Rembrandt,"709,3",8.0473,8.7086,9.5170,0.3063,0.3315,35.4171,-4.3548,2.2958,4.9229,2.6564
Rembrandt,"709,5",9.6978,10.6375,10.7955,0.3115,0.3417,38.9631,-5.6988,4.7039,7.3894,2.4515
Rembrandt,"709,7",23.1623,24.8237,26.9104,0.3093,0.3314,56.9032,-5.1770,3.5832,6.2961,2.5362
Rembrandt,"709,8",36.9088,38.7786,43.3868,0.3100,0.3257,68.5906,-3.6258,2.6588,4.4961,2.5089
Rembrandt,"709,9",49.3422,51.3491,57.4202,0.3121,0.3248,76.8900,-2.7172,2.9478,4.0091,2.3155
Rembrandt,"709,10",58.2264,60.2476,67.0453,0.3139,0.3248,81.9726,-2.0622,3.3765,3.9564,2.1191
Rembrandt,"727,3",7.1286,7.4639,11.3540,0.2747,0.2877,32.8404,-1.8531,-7.3796,7.6087,4.4664
Rembrandt,"727,5",13.3584,13.8008,19.8818,0.2840,0.2934,43.9459,-1.1294,-7.0367,7.1268,4.5532
Rembrandt,"727,7",26.4767,27.1333,36.2592,0.2946,0.3019,59.0975,-0.5452,-5.3943,5.4218,4.6117
Rembrandt,"727,8",36.1759,37.0474,45.0404,0.3059,0.3133,67.3126,-0.5224,-1.3412,1.4393,4.3410
Rembrandt,"727,9",44.0929,45.3323,56.3203,0.3025,0.3110,73.1102,-1.0590,-2.5590,2.7694,4.3200
Rembrandt,"727,10",54.8789,56.3409,66.1546,0.3094,0.3176,79.8074,-0.9423,0.3798,1.0160,2.7584
Sennelier,1,5.4852,4.7045,4.4631,0.3743,0.3211,25.8759,10.7126,5.1090,11.8685,0.4450
Sennelier,2,2.5075,2.0787,1.4286,0.4169,0.3456,15.8951,9.8195,9.0974,13.3860,0.7472
Sennelier,3,6.8535,5.5482,2.0290,0.4749,0.3845,28.2428,15.2453,24.6935,29.0204,1.0177
